start_date,asset_number,GLD,MDYG,MDYV,SLYG,SLYV,SPYG,SPYV,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-01-04,16,0.299999999855471,1.8158740365166708e-12,4.599201628716494e-14,1.0983694075375855e-11,1.1044504239253196e-11,1.1633604802412286e-07,1.535306632144252e-11,2.6556285154549826e-11,1.1937884498553714e-09,3.699018214195039e-11,1.393370127843837e-11,0.09896187600652409,0.2999999999627435,6.732502437982488e-07,0.2999999983052027,1.3606406774432192e-11
2010-04-06,16,0.29999999989488774,0.09999999999449512,0.0,1.4594603303662643e-12,0.0,1.2605083643534893e-12,2.6233839072204123e-11,1.2926251513991395e-11,2.8803129278354196e-11,7.067733154967792e-11,1.5140367087139087e-11,1.4452494756511824e-12,0.29999999996603477,9.76197099298834e-12,0.2999999999909765,0.0
2010-07-06,16,0.2999999999813851,8.00828785601554e-12,0.0,2.666046295422751e-12,0.10000000001934847,5.123577861584669e-13,0.0,3.3648903861718973e-12,5.58277298613383e-12,7.986088686499238e-12,0.0,1.434701700048158e-12,0.2999999999813523,2.6480776739095413e-12,0.0,0.3000000000000002
2010-10-04,16,0.2999999979383638,0.012246162986678959,7.285067092156086e-11,4.1888519677410084e-11,8.2562549324212e-10,3.120124200521382e-10,1.687964820962267e-10,4.3961838395413596e-10,1.2079140826176945e-09,8.303957641832771e-10,3.0740538609893844e-10,5.469461963369738e-13,0.2999999888962417,1.3001828644810983e-13,0.11702855605877774,0.270725291485904
2011-01-03,16,0.2999999998945019,1.1469208980766662e-08,0.004692313791737275,2.1576854193502436e-11,0.07752967733289788,4.206389552867367e-12,3.268911735176993e-11,2.698037273349167e-11,6.907006027200072e-11,8.14077902582553e-11,9.445049125479158e-12,4.668947986087567e-11,0.2999992146689201,3.390874574845257e-11,0.01777878284207265,0.2999999999431924
2011-04-04,16,0.29999999998421284,0.2999999999952096,9.444915467365868e-12,1.890365869209505e-11,1.2211576138422294e-12,3.614036744085242e-13,4.404246188976301e-12,2.774961298567408e-12,5.7930394430979785e-12,1.5348449878879505e-11,5.887623661617503e-12,0.05294644247915291,0.299999999997791,1.7289506629555223e-12,1.0360252074717168e-11,0.047053557555185095
2011-07-05,16,0.2999999903587495,0.2999999563595557,1.7245911487580885e-09,9.97379242083843e-08,3.8918114947190355e-09,1.4211245235081158e-09,1.3575055412879684e-09,4.4223312050615954e-09,3.948761492392932e-09,5.889708997228503e-09,1.847230452409748e-08,0.007255726725453967,0.29999994140443254,3.6333906414050587e-10,0.07498994165382789,0.017754291892397477
2011-10-03,16,0.2999999918192663,4.478978503243863e-09,1.6370934525971906e-09,1.8616768233581567e-09,2.6081048620290615e-09,1.4578587044680839e-09,1.538865979560606e-09,4.837505316219725e-10,4.550358559414409e-09,2.6575187416740183e-09,1.464443140569213e-09,4.140398401762009e-06,0.29999989064614324,0.28179830336027006,0.06859457639290646,0.04960291774432687
2012-01-03,16,0.2999999999999981,3.0177755398733563e-11,3.0181339553205065e-11,3.016663183956178e-11,8.163636664907635e-12,0.02698260468992702,2.8177465733745373e-11,1.3052346328480074e-10,1.6114523494381638e-11,1.0813946588762617e-11,1.1316549566608714e-08,1.4617080192222713e-16,0.2999999913859329,0.07301739075237511,1.9435537153352556e-09,0.2999999996066461
2012-04-03,16,0.29999999793757554,1.5009032664009432e-10,5.452969134997753e-09,1.339989033778078e-10,3.653433881743338e-10,1.0603418328570494e-10,1.5018444429414405e-10,3.607946891752033e-10,9.056766948667786e-11,3.487093810891088e-10,1.5010083254565227e-10,5.811361064572186e-09,0.29999999563945867,0.15302000414316544,1.0873090014837428e-10,0.2469799879799174
2012-07-03,16,0.29999999990260046,2.3485859391077266e-11,3.902107818036144e-12,0.0,3.2733192885596883e-11,0.0,1.675337557232774e-11,1.1086060126222362e-10,8.81078356027521e-11,1.1883794877732078e-10,1.7801183523716962e-11,0.0,0.2999999998970883,0.29999999993294657,0.0,0.09999999993722528
2012-10-02,16,0.299999560792819,1.2845581568590794e-07,1.1829800608262648e-07,1.1558042481744737e-07,1.441672903100597e-07,8.599553313468272e-08,1.0878513237639487e-07,1.8809958321947864e-07,1.719670054178932e-07,1.7762762075609298e-07,1.3102525949198658e-07,6.545651009138571e-08,0.2999995135478223,0.2999995365985779,0.06530259710045562,0.03469740512334795
2013-01-04,16,0.29999998273902423,2.2052079014735398e-09,2.300995618569617e-09,3.3740861587606123e-09,3.808458341874343e-09,3.1982121843037054e-09,3.228517262882702e-09,4.828554943581255e-09,4.519369638736284e-09,4.188597792319814e-09,3.6416535487602408e-09,3.1312172387589656e-09,0.29999991459549685,0.05028322917255067,0.08339988267169096,0.26631722454959533
2013-04-08,16,0.18919093478070098,0.0,5.597345300472656e-13,5.823866508405235e-14,0.0,4.506871018419334e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000000000002,0.21080906522483944,0.3000000000000002,2.5674468573079296e-12
2013-07-08,16,0.04083670033478216,1.655091454890853e-10,2.6275119733440916e-19,3.835368161996969e-11,1.6694791305672335e-10,7.55202493468783e-12,3.700349124119078e-11,3.9941677948427324e-10,3.719715737916885e-10,3.2239837576477034e-10,2.1998860807771112e-10,9.982864829737919e-11,0.2999999995475029,0.14042363964966004,0.2999999995749735,0.21873965910076126
2013-10-04,16,0.03447659417206916,3.2135859253554625e-11,3.0194355619900602e-15,6.224722203739075e-13,2.3091063957745503e-11,0.0,6.820085357542084e-12,8.956012316724726e-11,9.120527019498158e-11,5.750472507304923e-11,3.388710179107619e-11,6.874397932099711e-15,0.2999999999119657,0.06552340559815488,0.2999999998972936,0.3000000000000002
2014-01-06,16,0.09999966085939006,6.843823520709021e-16,1.3671507927196685e-12,1.182120971408211e-13,2.1689822535324196e-16,1.1919314165374901e-12,8.179606605564622e-13,1.4869534390892571e-15,1.5405150689659151e-15,5.087546083808796e-16,2.7164876383048384e-16,8.524821058571824e-13,0.2999999999999997,3.391447460805272e-07,0.2999999999999985,0.2999999999999997
