,GLD,MDYG,MDYV,SLYG,SLYV,SPHB,SPLV,SPYG,SPYV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMLV,XSLV
2000-01-03 00:00:00+00:00,,,,,,,,,,15.639176481,,15.6274465531,11.9720338174,19.2148655249,42.5246845133,13.7056099344,,12.5261913003,21.944735192,23.0963585893,,
2000-01-04 00:00:00+00:00,,,,,,,,,,15.4886260721,,15.3332551647,11.4487805911,18.6885221211,40.3693027766,13.320045523,,12.1520027078,21.4450035985,22.4062283526,,
2000-01-05 00:00:00+00:00,,,,,,,,,,15.9944754461,,15.5568406199,11.4540131234,18.6352215232,40.3923139695,13.5188521726,,12.4121094124,21.3870637036,22.3372153289,,
2000-01-06 00:00:00+00:00,,,,,,,,,,16.5424789347,,16.3452735409,11.8569181076,18.8550864894,38.4517033667,13.8080254811,,12.43492579,21.3218813218,22.3832240113,,
2000-01-07 00:00:00+00:00,,,,,,,,,,16.530434902,,16.5217883739,12.0505218014,19.5746445603,39.1190279613,14.6875942945,,12.5398811269,21.5826108489,23.4337555939,,
2000-01-10 00:00:00+00:00,,,,,,,,,,16.4762367547,,16.3805765075,11.8412205108,19.5746445603,40.6070851034,14.3562498785,,12.5855138821,23.7843268549,23.3187338878,,
2000-01-11 00:00:00+00:00,,,,,,,,,,16.1570698878,,16.4041118186,11.6423842849,19.3214667205,39.4565254575,14.3562498785,,12.4486156165,23.1542304979,23.1116948168,,
2000-01-12 00:00:00+00:00,,,,,,,,,,16.042651577,,16.3276220576,11.8726157044,19.0949391797,39.2877767094,14.4285432056,,12.320843902,22.7703786942,23.0503499068,,
2000-01-13 00:00:00+00:00,,,,,,,,,,16.1088937569,,16.6100457904,12.2336604306,19.4547182152,39.6482853985,14.5068609767,,12.206762014,23.4511724593,23.1730397267,,
2000-01-14 00:00:00+00:00,,,,,,,,,,15.9944754461,,16.5100207184,12.5162171728,19.3214667205,40.5610627176,14.5550565281,,12.3071540754,23.2411403403,23.1116948168,,
2000-01-18 00:00:00+00:00,,,,,,,,,,15.6090663992,,16.7159546903,12.102847124,19.3014789964,40.7758338515,14.3080543271,,12.2569580447,22.8138336154,22.9813368832,,
